Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
339,"MK Gold","Debates in the digital humanities",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=_6mo2tApzQQC&oi=fnd&pg=PP2&dq=+%22digital+humanities%22&ots=9YtfluJ6Nx&sig=jIKxPF6wtZSqlVLp33dE7bCEL4c","https://scholar.google.com/scholar?cites=17950367634186489359&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,"2017-09-03","BOOK","","","",0,0,0,0,339
316,"S Schreibman, R Siemens, J Unsworth","A companion to digital humanities",2008,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=mE7cvIxAK4wC&oi=fnd&pg=PR5&dq=+%22digital+humanities%22&ots=oeowY57v7I&sig=9yiT9jFxMb0pddd7hUUEN0tTQ9E","https://scholar.google.com/scholar?cites=7333428967191905825&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,"2017-09-03","BOOK","","","",0,0,0,0,316
256,"DM Berry","Introduction: Understanding the digital humanities",2012,"Understanding digital humanities","Springer","http://link.springer.com/chapter/10.1057/9780230371934_1","https://scholar.google.com/scholar?cites=18164358524949476654&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,"2017-09-03","","","","",0,0,0,0,256
224,"DM Berry","The computational turn: Thinking about the digital humanities",2011,"Culture Machine","culturemachine.net","http://www.culturemachine.net/index.php/cm/article/download/440/470","https://scholar.google.com/scholar?cites=14502705143427226135&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,"2017-09-03","PDF","","","",0,0,0,0,224
210,"M Kirschenbaum","What is digital humanities and what's it doing in English departments?",2012,"Debates in the digital humanities","books.google.com","https://books.google.com/books?hl=en&lr=&id=_6mo2tApzQQC&oi=fnd&pg=PA3&dq=+%22digital+humanities%22&ots=9YtfluJ6Nx&sig=K9LXwgZzS8uUa3ARRfUzjmR5fNw","https://scholar.google.com/scholar?cites=3002343690452307513&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,"2017-09-03","","","","",0,0,0,0,210
188,"CL Borgman","The digital future is now: A call to action for the humanities",2009,"Digital humanities quarterly","works.bepress.com","https://works.bepress.com/borgman/233/download/","https://scholar.google.com/scholar?cites=6758248563522880195&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,"2017-09-03","","","","",0,0,0,0,188
138,"P Svensson","The landscape of digital humanities",2010,"Digital Humanities","swepub.kb.se","http://swepub.kb.se/bib/swepub:oai:DiVA.org:umu-37513?tab2=abs&language=en","https://scholar.google.com/scholar?cites=12633701720565265922&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,"2017-09-03","","","","",0,0,0,0,138
137,"A Liu","Where is cultural criticism in the digital humanities",2012,"Debates in the digital humanities","liu.english.ucsb.edu","http://liu.english.ucsb.edu/where-is-cultural-criticism-in-the-digital-humanities/","https://scholar.google.com/scholar?cites=4903219769034007125&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,"2017-09-03","HTML","","","",0,0,0,0,137
101,"P Svensson","Humanities computing as digital humanities",2013,"Defining Digital Humanities: A Reader","books.google.com","https://books.google.com/books?hl=en&lr=&id=uV_XCQAAQBAJ&oi=fnd&pg=PA159&dq=+%22digital+humanities%22&ots=02SnSwXlcr&sig=vJkYc4MfVytsRdAzpWQaIskgxE0","https://scholar.google.com/scholar?cites=14313469022306170671&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,"2017-09-03","","","","",0,0,0,0,101
85,"E Vanhoutte","Defining digital humanities: a reader",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=uV_XCQAAQBAJ&oi=fnd&pg=PR9&dq=+%22digital+humanities%22&ots=02SnSwXlcr&sig=wZfXkXBZ0jq7ZsrFpc9w3kBNzPM","https://scholar.google.com/scholar?cites=17321989676422369118&as_sdt=2005&sciodt=0,5&hl=en&num=20",12,"2017-09-03","BOOK","","","",0,0,0,0,85
